0  |       Art and Architecture|                        BBB|   617.600327
193|                      ENGIN|                     STAMPS|   178.657627
194|                      ENGIN|              Wilson Center|   267.468035
195|                       EWRE|                      FMCRB|   285.889425
196|                       EWRE|                        FXB|   119.238016
197|                       EWRE|                       GGBL|    76.047554
198|                       EWRE|  Gorguze Family Laboratory|   179.238016
199|                       EWRE|                        IOE|   206.329471
200|                       EWRE|                       LBME|   312.035642
201|                       EWRE|      Music, Theater, Dance|   454.962893
202|                       EWRE|                       NAME|   432.351685
203|                       EWRE|                       NCRC|   707.323390
204|                       EWRE|                       Name|   450.806763
205|                       EWRE|                  Pierpoint|   204.527068
206|                       EWRE|                   Pierpont|   198.560933
207|                       EWRE|                     STAMPS|   232.905742
208|                       EWRE|              Wilson Center|   170.405140
209|                      FMCRB|                        FXB|   166.651409
210|                      FMCRB|                       GGBL|   361.936978
211|                      FMCRB|  Gorguze Family Laboratory|   226.651409
212|                      FMCRB|                        IOE|   414.679626
213|                      FMCRB|                       LBME|   588.085303
214|                      FMCRB|      Music, Theater, Dance|   740.852317
215|                      FMCRB|                       NAME|   146.462261
216|                      FMCRB|                       NCRC|   421.433966
217|                      FMCRB|                       Name|   176.453725
218|                      FMCRB|                  Pierpoint|   490.416493
219|                      FMCRB|                   Pierpont|   484.450358
220|                      FMCRB|                     STAMPS|   518.795167
221|                      FMCRB|              Wilson Center|   217.818533
222|                        FXB|                       GGBL|   195.285569
223|                        FXB|  Gorguze Family Laboratory|    60.000000
224|                        FXB|                        IOE|   248.028217
225|                        FXB|                       LBME|   421.433894
226|                        FXB|      Music, Theater, Dance|   574.200908
227|                        FXB|                       NAME|   313.113670
228|                        FXB|                       NCRC|   588.085374
229|                        FXB|                       Name|   331.568747
230|                        FXB|                  Pierpoint|   323.765084
231|                        FXB|                   Pierpont|   317.798949
232|                        FXB|                     STAMPS|   352.143758
233|                        FXB|              Wilson Center|    51.167125
234|                       GGBL|  Gorguze Family Laboratory|   229.341361
235|                       GGBL|                        IOE|   238.661329
236|                       GGBL|                       LBME|   344.367500
237|                       GGBL|      Music, Theater, Dance|   457.081042
238|                       GGBL|                       NAME|   508.399239
239|                       GGBL|                       NCRC|   783.370944
240|                       GGBL|                       Name|   526.854316
241|                       GGBL|                  Pierpoint|   189.192742
242|                       GGBL|                   Pierpont|   200.679083
243|                       GGBL|                     STAMPS|   166.334274
244|                       GGBL|              Wilson Center|   246.452694
245|  Gorguze Family Laboratory|                        IOE|   308.028217
246|  Gorguze Family Laboratory|                       LBME|   481.433894
247|  Gorguze Family Laboratory|      Music, Theater, Dance|   634.200908
248|  Gorguze Family Laboratory|                       NAME|   373.113670
249|  Gorguze Family Laboratory|                       NCRC|   648.085374
250|  Gorguze Family Laboratory|                       Name|   391.568747
251|  Gorguze Family Laboratory|                  Pierpoint|   383.765084
252|  Gorguze Family Laboratory|                   Pierpont|   377.798949
253|  Gorguze Family Laboratory|                     STAMPS|   395.675635
254|  Gorguze Family Laboratory|              Wilson Center|   111.167125
255|                        IOE|                       LBME|   173.405678
256|                        IOE|      Music, Theater, Dance|   501.131701
257|                        IOE|                       NAME|   561.141887
258|                        IOE|                       NCRC|   836.113591
259|                        IOE|                       Name|   579.596964
260|                        IOE|                  Pierpoint|   367.140844
261|                        IOE|                   Pierpont|   244.729742
262|                        IOE|                     STAMPS|   210.384933
263|                        IOE|              Wilson Center|   299.195341
264|                       LBME|      Music, Theater, Dance|   577.333324
265|                       LBME|                       NAME|   734.547564
266|                       LBME|                       NCRC|  1009.519269
267|                       LBME|                       Name|   753.002642
268|                       LBME|                  Pierpoint|   472.847014
269|                       LBME|                   Pierpont|   320.931364
270|                       LBME|                     STAMPS|   355.276173
271|                       LBME|              Wilson Center|   472.601019
272|      Music, Theater, Dance|                       NAME|   887.314578
273|      Music, Theater, Dance|                       NCRC|  1162.286283
274|      Music, Theater, Dance|                       Name|   905.769655
275|      Music, Theater, Dance|                  Pierpoint|   489.725745
276|      Music, Theater, Dance|                   Pierpont|   256.401959
277|      Music, Theater, Dance|                     STAMPS|   290.746768
278|      Music, Theater, Dance|              Wilson Center|   625.368033
279|                       NAME|                       NCRC|   567.896226
280|                       NAME|                       Name|   322.915985
281|                       NAME|                  Pierpoint|   636.878754
282|                       NAME|                   Pierpont|   630.912619
283|                       NAME|                     STAMPS|   665.257428
284|                       NAME|              Wilson Center|   364.280794
285|                       NCRC|                       Name|   597.887690
286|                       NCRC|                  Pierpoint|   911.850458
287|                       NCRC|                   Pierpont|   905.884323
288|                       NCRC|                     STAMPS|   940.229132
289|                       NCRC|              Wilson Center|   639.252499
290|                       Name|                  Pierpoint|   655.333831
291|                       Name|                   Pierpont|   649.367696
292|                       Name|                     STAMPS|   683.712505
293|                       Name|              Wilson Center|   280.401623
294|                  Pierpoint|                   Pierpont|   233.323785
295|                  Pierpoint|                     STAMPS|   198.978976
296|                  Pierpoint|              Wilson Center|   374.932208
297|                   Pierpont|                     STAMPS|    34.344809
298|                   Pierpont|              Wilson Center|   368.966073
299|                     STAMPS|              Wilson Center|   403.310882
